epoch,step,test0_epoch/forces_mae,test0_epoch/forces_maxabserr,test0_epoch/forces_rmse,test0_epoch/per_atom_energy_mae,test0_epoch/per_atom_energy_maxabserr,test0_epoch/per_atom_energy_rmse,test0_epoch/total_energy_mae,test0_epoch/total_energy_maxabserr,test0_epoch/total_energy_rmse,test0_epoch/weighted_sum,train_loss_epoch/forces_mse,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/forces_mse,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,val0_epoch/forces_mae,val0_epoch/forces_maxabserr,val0_epoch/forces_rmse,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_maxabserr,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_maxabserr,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
0,3,,,,,,,,,,,,,,,,,3251.834069627576,87497.14497060949,11860.110983437009,681.3033825583946,1202.7859775234058,857.9734237940894,43603.41648373725,76978.30256149797,54910.29912282172,1966.5687260929853
0,3,,,,,,,,,,,4217336636.9131484,2193182.6727006957,2109764909.7929246,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,69363950.23863368,273220.67664351716,34818585.4576386,,,,,,,,,,
1,7,,,,,,,,,,,,,,,,,3251.831914707327,87497.08680242041,11860.103831412956,681.3027501449394,1202.7850508926142,857.9727427769172,43603.37600927612,76978.24325712731,54910.2555377227,1966.5673324261334
1,7,,,,,,,,,,,4217333749.236441,2193180.278543063,2109763464.757492,,,,,,,,,,,,,
2,9,,,,,,,,,,,,,,2579859311.24761,935967.5454073015,1290397639.3965087,,,,,,,,,,
2,11,,,,,,,,,,,,,,,,,3251.829620614078,87497.0304771182,11860.096168362352,681.3020918879394,1202.7840697596223,857.9720238188683,43603.33388082812,76978.18046461583,54910.20952440757,1966.5658562510087
2,11,,,,,,,,,,,4217332306.2872367,2193178.846439678,2109762742.5668383,,,,,,,,,,,,,
3,14,,,,,,,,,,,,,,193406279.7618965,393071.5173245598,96899675.63961053,,,,,,,,,,
3,15,,,,,,,,,,,,,,,,,3251.8272373663517,87496.97630075345,11860.08820211435,681.301417363536,1202.783056623258,857.9712823787111,43603.2907112663,76978.11562388852,54910.16207223751,1966.564327364944
3,15,,,,,,,,,,,4217329909.676439,2193176.963381123,2109761543.31991,,,,,,,,,,,,,
4,19,,,,,,,,,,,,,,27202494.478433568,159330.57972699733,13680912.529080283,,,,,,,,,,
4,19,,,,,,,,,,,,,,,,,3251.8246714222355,87496.91886670925,11860.0795247176,681.3007200651512,1202.7820031384008,857.9705121721936,43603.246084169674,76978.04820085765,54910.11277902039,1966.5626957436934
4,19,,,,,,,,,,,4217327700.373676,2193175.0892384765,2109760437.7314572,,,,,,,,,,,,,
5,20,5737.182500929663,716911.841782959,53005.33143754623,1132.7972444469983,1975.0086765639016,1411.5770235502978,72499.02364460789,126400.5553000897,90340.92950721906,3434.9898726883303,,,,,,,,,,,,,,,,
